noise_strength,dataset,algorithm,status,n_features,r2,rmse,complexity,complexity_unified,seconds,error,expr
0.01,1027_ESL,OperonRegressor,ok,4.0,0.8805288845569494,0.5397391665391114,96.0,96.0,64.6,,((-0.0000000719) + (1.0000369549 * (((((((5.1237115860 + ((24.4426555634 * X3) + ((-18.3552818298) * X4))) + ((-9.1893434525) * X1)) * ((((0.0003826606 * X3) / ((-0.1235615090) * X4)) - (0.0026763901 * X3)) + ((-0.0212485418) + ((-0.0029220397) * X2)))) - ((-0.2174833864) * X2)) + (((-0.0084047997) * X2) / ((-0.2449353933) * X4))) - ((-0.8243920207) * X3)) + (((((-0.0006865015) * X4) + (0.0010700832 * X1)) / (((0.0039692111 * X3) / ((-0.0830989927) * X4)) - (0.0329718404 * X3))) - ((sin(((((0.0034122893 * X1) / ((-0.0852766708) * X4)) - (3.8501136303 * X3)) - (1.2290899754 + (0.0355061181 * X1)))) - (0.0627081841 * X1)) - 0.1404729635)))))
0.1,1027_ESL,OperonRegressor,ok,4.0,0.8011720202570854,0.6962917102803413,92.0,92.0,61.6,,((-0.0000008999) + (0.9992429018 * (sin(((18.7390480042 * X1) + ((-15.4157400131) * X3))) + (((((0.1619580984 * X1) + (sin(((24.7055301666 * X1) + (10.1617136002 * X3))) * ((-0.6064330339) * X3))) * cos((((10.2545318604 * X3) - 16.4248085022) + (2.3739531040 * X4)))) - ((-0.2861230373) - (((-0.1130953506) * X3) - ((-0.6627139449) * X2)))) - ((((0.0148774059 * X4) - (0.0208667740 * X2)) * (((-12.9657135010) * X3) - 24.6309928894)) - (((((6.6598763466 * X1) + ((-10.8559856415) * X3)) * cos(((10.3789873123 * X3) - 15.9674997330))) / (29.0160770416 * X4)) * cos((((-2.1814730167) * X3) - ((-1.9228253365) * X2)))))))))
0.0,1027_ESL,ffx,ok,4.0,0.8319032647624084,0.6402242413430964,542.0,617.0,16.3,,"-0.0236 - 79.8*max(0,X3-0.821) * max(0,X1-1.67) - 7.12*max(0,X1-1.01) * max(0,X2-1.51) - 3.59*max(0,-1.99-X0) + 3.41*max(0,-1.99-X0) * max(0,-1.18-X2) + 3.34*max(0,X3-0.821) * max(0,X1-1.01) - 2.54*max(0,-3.05-X3) - 2.41*max(0,-1.85-X2) + 2.37*max(0,-0.956-X1) * max(0,X3-0.821) + 2.05*max(0,-1.99-X0) * max(0,-1.85-X2) + 1.52*X3 * max(0,-1.29-X0) - 1.22*X3 * max(0,-1.99-X0) + 1.03*max(0,-1.29-X0) + 0.890*max(0,-2.28-X3) - 0.829*max(0,-0.300-X1) * max(0,-1.99-X0) + 0.820*max(0,-1.85-X2) * max(0,-1.18-X2) + 0.811*X3 * max(0,X1-1.01) - 0.799*X3 * max(0,X1-1.67) + 0.550*max(0,X1-1.01) + 0.459*max(0,-0.300-X1) * max(0,-1.29-X0) - 0.416*max(0,X1-1.67) * max(0,X1-1.01) - 0.409*max(0,-1.29-X0) * max(0,-1.18-X2) - 0.406*max(0,-0.300-X1) - 0.373*max(0,-1.61-X1) - 0.346*max(0,-1.18-X2) - 0.336*max(0,X0-0.815) + 0.329*X3 - 0.303*max(0,-0.300-X1) * max(0,-1.85-X2) - 0.253*max(0,-1.99-X0) * max(0,-1.29-X0) - 0.234*X3 * max(0,-0.300-X1) - 0.229*max(0,X1-0.357) + 0.218*X2 - 0.216*X3 * max(0,-1.18-X2) + 0.185*max(0,X2+0.505) - 0.174*X3 * max(0,X2-1.51) + 0.162*max(0,X3-0.821) + 0.155*max(0,X0-0.114) + 0.151*max(0,X0+1.29) - 0.140*X3 * max(0,-1.85-X2) - 0.131*max(0,0.357-X1) - 0.108*max(0,0.815-X0) + 0.101*max(0,-0.956-X1) * max(0,-1.29-X0) + 0.0912*max(0,-0.300-X1) * max(0,-1.18-X2) + 0.0848*X1**2 - 0.0803*max(0,X2-0.168) - 0.0783*max(0,X0-1.52) - 0.0722*max(0,-0.728-X3) + 0.0570*X1 + 0.0561*X0**2 + 0.0523*max(0,-0.505-X2) - 0.0511*max(0,-0.587-X0) - 0.0419*max(0,X3+3.05) + 0.0196*max(0,-0.300-X1) * max(0,-3.05-X3) - 0.0158*max(0,-0.956-X1) + 0.0156*max(0,-1.85-X2) * max(0,-3.05-X3) - 0.0113*max(0,X1-1.67) + 0.00929*X3**2 - 0.00784*max(0,X3-0.821) * max(0,-0.300-X1) + 0.00687*max(0,-0.956-X1) * max(0,-0.300-X1) - 0.00627*max(0,X2+1.85) - 0.00429*max(0,X3+2.28) + 0.00387*max(0,-3.05-X3) * max(0,-1.18-X2) - 0.00209*X2**2 + 0.000925*X0"
0.001,1027_ESL,ffx,ok,4.0,0.6476503804777192,0.9269138645220114,947.0,1070.0,13.5,,"-0.602 + 15.9*max(0,-0.587-X0) * max(0,X1-0.357) - 7.36*max(0,X1-0.357) * max(0,-1.18-X2) + 5.85*max(0,-1.61-X1) * max(0,-1.29-X0) - 4.05*max(0,-1.61-X1) - 2.92*max(0,-0.587-X0) * max(0,X1+0.300) + 2.79*max(0,-1.85-X2) * abs(X0) - 2.68*max(0,-0.300-X1) - 2.04*max(0,-1.85-X2) - 1.98*max(0,-1.61-X1) * max(0,-0.587-X0) - 1.93*max(0,-1.99-X0) + 1.93*max(0,X1-1.01) * abs(X0) + 1.65*max(0,-1.61-X1) * max(0,-0.300-X1) + 1.61*max(0,-1.85-X2) * max(0,-3.05-X3) + 1.57*max(0,X2-1.51) - 1.37*max(0,X1-1.01) * max(0,X1-0.357) - 1.28*max(0,X0-0.114) * max(0,X1-1.01) - 1.24*max(0,X2-1.51) * abs(X1) + 1.10*max(0,X1-1.67) - 1.02*max(0,-0.956-X1) * max(0,-1.18-X2) - 0.967*max(0,-1.85-X2) * max(0,-0.300-X1) + 0.931*max(0,-1.29-X0) * max(0,-1.18-X2) + 0.732*max(0,X1+0.300) - 0.684*max(0,-0.587-X0) * max(0,-1.18-X2) - 0.651*max(0,-0.956-X1) * max(0,-1.29-X0) - 0.638*max(0,X1+0.300) * max(0,X2-1.51) + 0.610*max(0,X1-1.01) * abs(X1) - 0.564*max(0,X1-0.357) * abs(X0) - 0.537*X1 + 0.526*max(0,X0-0.114) * max(0,X1-0.357) - 0.481*max(0,-1.18-X2) * abs(X0) + 0.476*max(0,X1+0.300) * abs(X0) + 0.459*max(0,X0-0.114) - 0.445*max(0,X1+0.300) * max(0,X1-0.357) + 0.418*max(0,-0.587-X0) * max(0,-0.300-X1) - 0.417*max(0,-1.61-X1) * abs(X0) + 0.408*abs(X1) * max(0,-0.300-X1) + 0.395*max(0,-0.587-X0) * max(0,-0.956-X1) - 0.394*max(0,-3.05-X3) - 0.390*max(0,-1.61-X1) * max(0,-0.956-X1) - 0.370*max(0,-0.587-X0) - 0.367*max(0,X0-0.114) * max(0,-0.300-X1) + 0.349*max(0,-0.505-X2) + 0.323*max(0,X2+1.18) + 0.313*abs(X1) - 0.309*max(0,-1.29-X0) * max(0,-0.300-X1) + 0.306*max(0,-2.28-X3) - 0.304*max(0,X0-0.114) * max(0,X1+0.300) + 0.302*max(0,0.168-X2) + 0.294*max(0,X3-0.821) + 0.286*max(0,-1.18-X2) + 0.282*X2 + 0.271*max(0,X1+0.300) * abs(X1) - 0.266*max(0,-0.956-X1) + 0.253*max(0,-1.50-X3) - 0.252*max(0,-0.728-X3) - 0.246*max(0,X0-0.114) * abs(X0) + 0.244*X3 + 0.241*max(0,-3.05-X3) * max(0,-0.300-X1) - 0.237*X0 - 0.231*max(0,X1-0.357) * abs(X1) + 0.221*X1**2 - 0.217*max(0,0.815-X0) + 0.213*max(0,X0+0.587) + 0.203*max(0,X1-1.01) - 0.195*max(0,X0+1.99) + 0.192*max(0,-0.587-X0) * max(0,-1.29-X0) + 0.169*max(0,-1.29-X0) * abs(X0) - 0.162*max(0,-1.29-X0) - 0.161*max(0,0.114-X0) + 0.157*max(0,1.01-X1) - 0.148*max(0,X1+1.61) + 0.128*max(0,1.67-X1) - 0.109*max(0,X2+1.85) + 0.103*max(0,-0.956-X1) * max(0,-0.300-X1) - 0.102*abs(X0) * abs(X1) - 0.0914*X2**2 + 0.0904*max(0,X1-0.357) + 0.0811*max(0,X1-0.357) * max(0,X2-1.51) + 0.0767*max(0,-1.29-X0) * abs(X1) - 0.0758*max(0,-0.956-X1) * abs(X0) + 0.0696*max(0,0.357-X1) - 0.0661*max(0,-0.587-X0) * abs(X0) - 0.0548*max(0,-1.61-X1) * abs(X1) + 0.0527*max(0,X0+1.29) - 0.0527*abs(X0) * max(0,-0.300-X1) + 0.0506*X0**2 + 0.0469*abs(X0) + 0.0446*max(0,X3+2.28) + 0.0432*max(0,X2+0.505) - 0.0375*max(0,X1-1.01) * max(0,X1+0.300) + 0.0311*abs(X2) + 0.0306*max(0,X0-0.815) - 0.0282*max(0,-1.85-X2) * abs(X1) + 0.0266*max(0,X0-1.52) + 0.0169*max(0,-1.18-X2) * abs(X1) + 0.0155*max(0,X1+0.956) - 0.0133*X3**2 + 0.0114*max(0,X3+3.05) + 0.0110*abs(X3) + 0.00720*max(0,X2-0.841) + 0.00397*max(0,-0.956-X1) * abs(X1) + 0.00372*max(0,X0-0.114) * abs(X1) + 0.00297*max(0,-0.587-X0) * abs(X1) - 0.00226*max(0,X2-1.51) * abs(X0) + 0.00106*max(0,-3.05-X3) * abs(X1) + 0.000117*max(0,-1.18-X2) * max(0,-3.05-X3) + 1.04e-5*max(0,1.52-X0)"
0.01,1027_ESL,ffx,ok,4.0,0.7017813526729546,0.8527463571556712,948.0,1073.0,15.3,,"-0.488 + 19.0*max(0,-0.587-X0) * max(0,X1-0.357) + 4.49*max(0,-1.85-X2) * max(0,-1.29-X0) - 4.17*max(0,-1.85-X2) * max(0,X1-0.357) - 3.76*max(0,-0.587-X0) * max(0,X1+0.300) + 3.40*max(0,X1-1.01) * abs(X0) - 3.40*X0 * max(0,-3.05-X3) - 2.85*max(0,X1-1.01) * max(0,X0-0.114) - 1.94*max(0,X1-1.01) * max(0,X1+0.300) - 1.65*max(0,-0.300-X1) - 1.51*max(0,-1.61-X1) + 1.31*max(0,X0-0.114) * max(0,-0.300-X1) - 1.17*max(0,-1.85-X2) - 1.08*max(0,-1.18-X2) * max(0,X1-0.357) - 1.02*max(0,-1.85-X2) * max(0,-1.18-X2) + 1.01*max(0,X1-1.01) * abs(X1) + 1.01*max(0,X1-1.67) + 0.953*max(0,-2.28-X3) + 0.952*X0 * max(0,X1-0.357) + 0.874*max(0,X1-1.01) - 0.849*max(0,X0-0.114) * abs(X1) - 0.825*max(0,-1.85-X2) * max(0,-0.956-X1) - 0.813*max(0,X2-1.51) * abs(X1) + 0.779*max(0,-0.956-X1) * max(0,-3.05-X3) + 0.672*max(0,X1+0.300) * abs(X0) + 0.656*max(0,-1.29-X0) - 0.649*max(0,X0-0.815) - 0.602*max(0,-1.99-X0) + 0.568*max(0,-1.85-X2) * max(0,-0.300-X1) + 0.517*max(0,X1+0.300) - 0.480*max(0,-1.85-X2) * max(0,-3.05-X3) - 0.478*abs(X0) * max(0,X1-0.357) - 0.455*max(0,-1.29-X0) * max(0,-1.18-X2) - 0.426*max(0,X0-1.52) - 0.403*max(0,-3.05-X3) - 0.400*max(0,-1.85-X2) * max(0,-0.587-X0) + 0.380*max(0,-0.956-X1) * abs(X0) + 0.379*max(0,-0.505-X2) + 0.369*max(0,-3.05-X3) * max(0,-0.300-X1) + 0.328*max(0,-0.956-X1) * max(0,-0.300-X1) + 0.324*X2 + 0.290*max(0,-0.587-X0) * max(0,-0.956-X1) - 0.285*max(0,-1.18-X2) * abs(X0) - 0.263*max(0,-0.587-X0) * max(0,-0.300-X1) - 0.245*max(0,-0.956-X1) * max(0,-1.29-X0) + 0.244*max(0,-0.956-X1) * max(0,-1.18-X2) + 0.244*X3 - 0.238*max(0,-1.18-X2) + 0.237*max(0,X3-0.821) + 0.234*X0 * max(0,-0.300-X1) - 0.216*X1 - 0.214*max(0,X0-0.114) * max(0,X1+0.300) - 0.194*max(0,-1.29-X0) * max(0,-0.300-X1) - 0.176*max(0,-0.728-X3) + 0.166*max(0,1.01-X1) + 0.165*max(0,X0-0.114) * abs(X0) - 0.155*max(0,X1+1.61) + 0.154*max(0,X1+0.300) * abs(X1) - 0.150*max(0,0.815-X0) + 0.138*max(0,1.67-X1) + 0.136*max(0,X0-0.114) - 0.134*max(0,0.114-X0) + 0.130*max(0,0.168-X2) - 0.127*max(0,X1-0.357) + 0.126*abs(X1) * max(0,-0.300-X1) - 0.119*max(0,-1.18-X2) * max(0,-0.300-X1) + 0.115*abs(X0) * abs(X1) - 0.115*X0 * abs(X1) + 0.111*max(0,X2+1.18) + 0.105*abs(X0) * max(0,-0.300-X1) - 0.102*max(0,-0.587-X0) * max(0,-1.29-X0) + 0.0949*max(0,-1.18-X2) * max(0,-3.05-X3) + 0.0910*abs(X1) - 0.0901*max(0,-0.587-X0) * abs(X0) + 0.0726*max(0,-1.85-X2) * abs(X0) - 0.0721*max(0,X1-0.357) * abs(X1) + 0.0675*max(0,X2-1.51) - 0.0632*max(0,0.357-X1) - 0.0563*abs(X0) * max(0,X2-1.51) + 0.0543*abs(X3) + 0.0531*max(0,X3-0.0465) + 0.0523*max(0,X3+2.28) + 0.0476*X0**2 - 0.0329*max(0,-0.956-X1) - 0.0311*X3**2 - 0.0297*max(0,X1+0.956) - 0.0283*max(0,X0+1.99) + 0.0274*X1**2 + 0.0247*max(0,-1.50-X3) + 0.0226*max(0,-0.956-X1) * abs(X1) + 0.0167*max(0,-1.29-X0) * abs(X1) + 0.0162*max(0,X0+1.29) + 0.0161*max(0,X0+0.587) - 0.0146*max(0,X2-0.168) + 0.0136*max(0,-0.587-X0) * max(0,-1.18-X2) - 0.0117*X2**2 - 0.00985*X0 - 0.00838*max(0,-0.587-X0) - 0.00724*max(0,X1+0.300) * max(0,X1-0.357) - 0.00429*max(0,X1-0.357) * max(0,X2-1.51) + 0.00401*max(0,X1-1.01) * max(0,X1-0.357) - 0.00394*abs(X2) - 0.00393*max(0,X2-0.841) + 0.00373*max(0,-1.29-X0) * abs(X0) + 0.000615*max(0,-3.05-X3) * abs(X1) - 0.000392*max(0,-1.85-X2) * max(0,X1+0.300) - 2.29e-5*max(0,X0-0.114) * max(0,X1-0.357)"
0.1,1027_ESL,ffx,ok,4.0,0.4922037516331011,1.112749015734387,1030.0,1168.0,13.4,,"0.511 + 350*max(0,X0-1.52) * max(0,X1-1.67) - 46.4*max(0,X0-0.114) * max(0,X1-1.67) + 36.4*max(0,X0-0.815) * max(0,X1-1.67) + 29.1*max(0,-0.587-X0) * max(0,X1-0.357) + 28.6*max(0,X1-1.67) + 12.5*max(0,X0-1.52) * max(0,X2-1.51) + 8.11*max(0,X0-0.114) * max(0,-1.18-X2) - 7.92*max(0,X0-1.52) * max(0,X1-0.357) - 7.68*abs(X0) * max(0,X1-1.67) - 5.87*max(0,X0-0.815) * max(0,X1-0.357) + 5.02*max(0,X0-0.114) * max(0,-0.300-X1) - 4.20*max(0,-1.18-X2) * max(0,X1-0.357) + 3.89*max(0,X0-0.815) * max(0,X2-1.51) - 3.77*max(0,X0-1.52) * abs(X1) + 3.55*max(0,X0-0.815) * max(0,X1+0.300) + 3.47*max(0,X0-0.114) * max(0,X1-0.357) + 3.41*max(0,X0-1.52) * abs(X0) + 3.11*max(0,-1.85-X2) * max(0,-1.29-X0) - 3.08*max(0,X0-1.52) - 2.75*max(0,X0-0.114) * max(0,X0-1.52) + 2.71*max(0,-0.956-X1) + 2.69*max(0,X1-1.67) * abs(X1) + 2.64*max(0,-1.29-X0) - 2.52*abs(X1) * max(0,X2-1.51) + 2.41*max(0,X0-0.815) * max(0,X0-1.52) - 2.40*max(0,-0.300-X1) - 2.20*max(0,X0-0.815) - 2.19*max(0,X0-0.114) * max(0,X2-1.51) + 2.17*max(0,X0-0.114) + 1.99*max(0,-3.05-X3) - 1.85*max(0,-1.85-X2) * max(0,-1.18-X2) - 1.79*max(0,-1.61-X1) + 1.74*max(0,X1+0.300) * max(0,X1-1.67) + 1.63*max(0,X0-0.815) * abs(X0) - 1.57*max(0,X0-0.114) * abs(X0) - 1.43*max(0,-1.29-X0) * max(0,-0.300-X1) + 1.33*max(0,X1+0.300) * max(0,X0-1.52) - 1.29*max(0,X1+0.300) * max(0,-0.587-X0) - 1.22*max(0,-0.587-X0) - 1.16*max(0,X1+0.300) * abs(X0) + 1.14*abs(X1) + 1.08*max(0,X1-0.357) - 1.08*max(0,-1.85-X2) - 1.03*max(0,0.357-X1) + 0.898*max(0,-2.28-X3) - 0.886*max(0,-1.18-X2) + 0.872*max(0,X0-0.815) * abs(X1) + 0.827*max(0,-1.99-X0) + 0.802*max(0,-0.587-X0) * max(0,-0.300-X1) + 0.726*max(0,-0.587-X0) * max(0,-1.85-X2) + 0.712*abs(X0) - 0.639*max(0,X2-0.841) - 0.605*max(0,X1+0.300) - 0.600*max(0,-0.587-X0) * max(0,-1.29-X0) + 0.512*max(0,-1.85-X2) * max(0,-0.300-X1) - 0.475*abs(X0) * abs(X1) - 0.448*max(0,-1.18-X2) * max(0,-1.29-X0) + 0.414*X2 - 0.393*max(0,-1.85-X2) * max(0,X1-0.357) + 0.391*X3 - 0.376*max(0,X0-0.114) * max(0,X0-0.815) + 0.364*abs(X0) * max(0,-0.300-X1) - 0.349*max(0,X1+0.956) - 0.342*max(0,X0+0.587) + 0.336*max(0,X2-1.51) + 0.321*abs(X1) * max(0,-0.300-X1) - 0.308*max(0,X0-0.114) * abs(X1) - 0.306*max(0,-0.728-X3) - 0.245*max(0,X1-0.357) * abs(X1) - 0.242*X1 + 0.230*max(0,X0+1.29) - 0.224*max(0,X0-0.114) * max(0,X1+0.300) - 0.222*max(0,X1-1.01) + 0.217*max(0,0.815-X0) + 0.207*abs(X0) * max(0,-1.29-X0) + 0.193*max(0,-1.29-X0) * abs(X1) - 0.193*X1**2 - 0.192*abs(X0) * max(0,-0.587-X0) + 0.188*max(0,X1+0.300) * max(0,X2-1.51) - 0.180*abs(X0) * max(0,-1.18-X2) + 0.178*max(0,-1.18-X2) * max(0,-0.300-X1) + 0.159*abs(X0) * max(0,-1.85-X2) + 0.136*X2**2 - 0.134*max(0,-0.587-X0) * max(0,-1.18-X2) - 0.113*max(0,X2+1.85) - 0.106*max(0,X1+0.300) * max(0,-1.18-X2) + 0.104*abs(X3) + 0.0934*X0 + 0.0892*max(0,X3-0.0465) + 0.0849*max(0,1.01-X1) - 0.0839*max(0,X1+1.61) + 0.0837*abs(X2) - 0.0824*X0**2 + 0.0770*X1 * max(0,-0.300-X1) + 0.0684*max(0,-1.18-X2) * abs(X1) - 0.0652*max(0,-0.587-X0) * abs(X1) - 0.0649*max(0,X1+0.300) * max(0,X1-0.357) - 0.0583*max(0,0.114-X0) + 0.0531*max(0,X2+0.505) - 0.0489*max(0,X3+3.05) + 0.0417*X3**2 - 0.0370*max(0,X2+1.18) + 0.0298*abs(X0) * max(0,X1-0.357) + 0.0280*max(0,X0-0.114) * max(0,-1.85-X2) + 0.0256*max(0,X1+0.300) * abs(X1) + 0.0179*max(0,-1.85-X2) * abs(X1) + 0.0154*max(0,-0.505-X2) - 0.0104*max(0,1.52-X0) - 0.00707*max(0,X3-0.821) - 0.00383*max(0,X1-0.357) * max(0,X2-1.51) - 0.00196*max(0,X0+1.99) - 0.00118*max(0,0.841-X2) - 0.000112*max(0,X1+0.300) * max(0,-1.85-X2)"
0.0,1028_SWD,ITEARegressor,ok,10.0,0.3429308949155192,0.5969876737402728,2.0,51.0,2895.4,,-0.354*log(x_2**-1 * x_4**-1 * x_5**-1 * x_6**-1 * x_7**-1 * x_8**-1 * x_9**-1) + 0.572*sin(x_0**-1 * x_1 * x_2 * x_3**-1 * x_7**-1) + 1.936
0.001,1028_SWD,ITEARegressor,ok,10.0,0.3023994123318168,0.6151248318440921,2.0,41.0,2664.9,,0.366*log(x_1 * x_2 * x_4 * x_5 * x_6 * x_7 * x_8 * x_9) + 0.279*cos(x_1**-1 * x_2 * x_3 * x_4 * x_7**-1 * x_8 * x_9) + 1.903
0.01,1028_SWD,ITEARegressor,ok,10.0,0.4263628031228865,0.5577999781159428,2.0,51.0,2860.9,,-0.326*log(x_0 * x_1**-1 * x_2**-1 * x_4**-1 * x_5**-1 * x_8**-1 * x_9**-1) + -1.365*sin(x_0**-1 * x_1 * x_2**-1 * x_6**-1 * x_7**-1) + 3.043
0.1,1028_SWD,ITEARegressor,ok,10.0,0.4194781278632551,0.561137294649866,2.0,51.0,2865.8,,-0.313*log(x_0 * x_1**-1 * x_2**-1 * x_4**-1 * x_5**-1 * x_8**-1 * x_9**-1) + -1.5*sin(x_0**-1 * x_2**-1 * x_6**-1 * x_7**-1 * x_8) + 3.095
